"Geography","Percent..COMMUTING.TO.WORK...Car..truck..or.van....drove.alone","Percent..COMMUTING.TO.WORK...Car..truck..or.van....carpooled","Percent..COMMUTING.TO.WORK...Public.transportation..excluding.taxicab.","Percent..COMMUTING.TO.WORK...Walked","Percent..COMMUTING.TO.WORK...Other.means","Percent..COMMUTING.TO.WORK...Worked.at.home","Estimate..COMMUTING.TO.WORK...Mean.travel.time.to.work..minutes."
"Birmingham city, Alabama","84.3","9.8","1.8","1.8","0.4","1.9",21.6
"Dothan city, Alabama","90.2","5.7","0.4","0.9","1.6","1.2",19.9
"Hoover city, Alabama","86.4","8.2","0.0","0.2","0.6","4.7",24.4
"Huntsville city, Alabama","84.4","9.0","0.3","1.3","2.6","2.4",18.1
"Mobile city, Alabama","86.2","7.4","0.8","0.9","1.1","3.7",20.9
"Montgomery city, Alabama","84.6","9.3","1.0","2.0","0.4","2.7",18.2
"Tuscaloosa city, Alabama","79.5","12.6","0.8","3.1","1.5","2.4",17.6
"Anchorage municipality, Alaska","72.6","13.1","2.1","2.9","4.5","4.7",20.2
"Avondale city, Arizona","74.2","19.4","0.2","0.7","2.2","3.2",25.7
"Casas Adobes CDP, Arizona","81.3","8.6","2.5","1.0","2.0","4.6",23.9
"Chandler city, Arizona","78.6","12.2","1.6","0.7","1.6","5.3",23.7
"Flagstaff city, Arizona","63.4","11.3","3.4","10.8","6.0","5.1",15
"Gilbert town, Arizona","76.6","10.5","1.0","1.0","1.8","9.1",27.5
"Glendale city, Arizona","74.2","15.6","3.5","1.0","1.5","4.2",26.4
"Goodyear city, Arizona","81.5","8.4","1.2","0.4","3.2","5.2",31.2
"Mesa city, Arizona","78.4","11.0","2.1","1.0","3.0","4.6",25.3
"Peoria city, Arizona","79.0","11.6","0.7","1.3","1.3","6.0",27.7
"Phoenix city, Arizona","75.9","11.4","3.2","1.8","2.9","4.7",24.3
"San Tan Valley CDP, Arizona","81.4","11.5","0.0","0.2","1.6","5.2",38.4
"Scottsdale city, Arizona","80.9","5.5","1.0","1.1","2.1","9.4",22.5
"Surprise city, Arizona","83.4","7.8","0.1","1.1","2.7","5.0",32
"Tempe city, Arizona","73.3","7.7","4.3","3.4","5.7","5.5",20.6
"Tucson city, Arizona","74.0","9.9","3.6","3.8","4.9","3.7",21.8
"Yuma city, Arizona","75.7","12.7","0.8","4.7","2.9","3.2",15.7
"Fayetteville city, Arkansas","75.0","10.3","2.0","3.3","1.2","8.0",19.9
"Fort Smith city, Arkansas","80.5","14.4","0.8","1.4","1.0","1.9",15.2
"Jonesboro city, Arkansas","85.8","5.6","1.4","1.0","1.1","5.2",16.8
"Little Rock city, Arkansas","85.3","9.2","1.2","0.4","0.8","3.1",18.7
"Springdale city, Arkansas","78.2","16.3","0.0","0.6","1.0","3.9",18.2
"Alameda city, California","57.3","10.2","18.9","4.0","4.4","5.2",29.4
"Alhambra city, California","82.0","8.5","3.5","1.0","1.0","4.0",30.6
"Anaheim city, California","75.4","12.0","6.0","1.5","1.7","3.4",27.4
"Antioch city, California","69.0","18.7","6.7","1.1","0.7","3.8",41.8
"Apple Valley town, California","N","N","N","N","N","N",28.7
"Arden-Arcade CDP, California","77.6","7.0","2.3","3.8","1.7","7.6",22.7
"Bakersfield city, California","79.4","13.4","1.2","1.3","2.4","2.3",23.8
"Baldwin Park city, California","72.8","16.4","4.4","1.2","1.6","3.7",30.4
"Bellflower city, California","81.0","9.3","4.5","1.2","3.0","1.0",26.8
"Berkeley city, California","34.0","6.2","20.6","18.1","9.4","11.6",26.4
"Buena Park city, California","71.5","13.6","5.9","2.9","2.6","3.5",29.2
"Burbank city, California","78.3","9.4","2.2","2.5","2.4","5.2",25.8
"Camarillo city, California","82.4","7.8","1.2","0.7","1.2","6.6",22.7
"Carlsbad city, California","78.2","7.8","2.1","1.0","1.4","9.5",30.4
"Carson city, California","82.8","9.7","2.2","1.1","0.8","3.4",27.4
"Chico city, California","71.8","8.8","0.7","5.9","7.2","5.6",15.8
"Chino city, California","83.8","9.2","2.1","1.2","0.6","3.1",31.8
"Chino Hills city, California","77.4","16.8","1.2","0.0","1.7","2.9",37.2
"Chula Vista city, California","80.0","11.4","2.9","0.9","1.0","3.9",27.8
"Citrus Heights city, California","81.9","9.3","1.6","3.1","0.7","3.4",24.9
"Clovis city, California","85.9","6.7","0.6","1.6","1.3","3.9",18.7
"Compton city, California","68.0","16.7","8.2","1.4","3.9","1.8",27.9
"Concord city, California","69.4","12.3","11.1","1.1","2.4","3.7",32.3
"Corona city, California","76.0","13.0","1.7","1.0","1.1","7.3",36.2
"Costa Mesa city, California","76.4","8.6","3.5","1.6","3.1","6.8",22.4
"Daly City city, California","65.6","11.1","19.3","1.7","0.1","2.0",27.7
"Davis city, California","54.9","6.9","8.6","3.1","19.6","6.8",21.2
"Downey city, California","84.4","8.2","2.4","1.9","1.0","2.1",29.6
"East Los Angeles CDP, California","65.4","14.3","12.2","3.7","2.4","2.0",29.1
"El Cajon city, California","78.3","10.3","1.9","1.7","1.0","6.8",23.5
"Elk Grove city, California","74.8","16.9","0.9","1.0","0.7","5.8",29.7
"El Monte city, California","76.7","11.6","5.2","1.9","1.1","3.4",31.4
"Escondido city, California","80.6","10.4","1.4","2.2","1.3","4.1",23.8
"Fairfield city, California","78.3","14.9","1.3","1.4","1.2","2.9",27.2
"Florence-Graham CDP, California","71.5","8.7","14.6","1.8","2.2","1.1",32.2
"Folsom city, California","83.2","7.6","1.7","1.7","1.3","4.5",23.8
"Fontana city, California","78.8","14.2","1.9","0.9","0.8","3.5",32.7
"Fremont city, California","70.2","13.6","7.5","2.2","1.1","5.3",30.4
"Fresno city, California","75.0","12.9","2.5","1.3","3.5","4.8",22.8
"Fullerton city, California","77.2","11.6","2.7","2.3","2.0","4.2",29.2
"Garden Grove city, California","76.9","15.0","2.9","2.2","1.4","1.6",25.7
"Glendale city, California","72.8","10.8","4.6","3.7","1.4","6.8",26.1
"Hawthorne city, California","78.1","7.3","8.1","1.4","2.5","2.6",28.8
"Hayward city, California","69.6","13.1","9.7","3.0","1.4","3.2",30.3
"Hemet city, California","79.5","14.0","0.2","2.1","0.7","3.6",28.8
"Hesperia city, California","80.4","11.9","0.5","2.0","1.5","3.7",35.4
"Huntington Beach city, California","81.2","6.6","1.0","1.2","3.0","6.9",27.6
"Indio city, California","81.2","10.0","2.7","1.6","1.0","3.5",23.3
"Inglewood city, California","72.2","12.1","7.7","2.3","2.3","3.4",30.1
"Irvine city, California","79.7","6.5","2.2","2.1","2.2","7.3",25.9
"Jurupa Valley city, California","76.3","18.9","0.8","0.8","1.0","2.3",30
"Lake Forest city, California","84.2","7.5","1.2","0.5","1.8","4.8",26.3
"Lakewood city, California","81.9","10.6","2.9","1.0","1.5","2.1",26.6
"Lancaster city, California","84.4","10.4","1.8","1.1","0.7","1.6",30.4
"Livermore city, California","79.0","6.8","3.2","1.6","2.4","7.1",29.2
"Long Beach city, California","72.8","9.8","8.2","2.5","1.9","4.9",28.6
"Los Angeles city, California","67.4","9.9","10.9","3.6","2.4","5.8",29.8
"Lynwood city, California","68.3","15.2","5.8","3.6","4.8","2.2",27.3
