,Residential,Commercial,Total,% residential,% commercial,,%change res,%change comm,% change total,,,,,,,,,,,
1996,2155918524,621333281,2777251805,77.6,22.4,,,,,,,,,,,,,,,
1997,2414608127,677321785,3091929912,78.1,21.9,,12,9,11.3,,,,,,,,,,,
1998,2445616947,710504110,3156121057,77.5,22.5,,1.3,4.9,2.1,,,,,,,,,,,
1999,2651239012,821589645,3472828657,76.3,23.7,,8.4,15.6,10,,,,,,,,,,,
2000,2937428052,930173140,3867601192,75.9,24.1,,10.8,13.2,11.4,,,,,,,,,,,
2001,2975444502,997464473,3972908975,74.9,25.1,,1.3,7.2,2.7,,,,,,,,,,,
2002,3337867183,1158227198,4496094381,74.2,25.8,,12.2,16.1,13.2,,,,,,,,,,,
2003,4786203050,887935750,5674138800,84.4,15.6,,43.4,-23.3,26.2,,,,,,,,,,,
2004,5712928622,900926278,6613854900,86.4,13.6,,19.4,1.5,16.6,,,,,,,,,,,
2005,6282436389,973447611,7255884000,86.6,13.4,,10,8,9.7,,,,,,,,,,,
2006,6872700152,1022198148,7894898300,87.1,12.9,,9.4,5,8.8,,,,,,,,,,,
2007,7523926865,1228148835,8752075700,86,14,,9.5,20.1,10.9,,,,,,,,,,,
2008,7343629210,1248700880,8592330090,85.5,14.5,,-2.4,1.7,-1.8,,,,,,,,,,,
2009,7178108247,1231085973,8409194220,85.4,14.6,,-2.3,-1.4,-2.1,,,,,,,,,,,
2010,7017857230,1243422590,8261279820,84.9,15.1,,-2.2,1,-1.8,,,,,,,,,,,
2011,7027712955,1270163365,8297876320,84.7,15.3,,0.1,2.2,0.4,,,,,,,,,,,
2012,7099067112,1291505078,8390572190,84.6,15.4,,1,1.7,1.1,,,,,,,,,,,
2013,7293246502,1302088548,8595335050,84.9,15.1,,2.7,0.8,2.4,,,,,,,,,,,
2014,7894327349,1551345051,9445672400,83.6,16.4,,8.2,19.1,9.9,,,,,,,,,,,
2015,8909186864,1583038416,10492225280,84.9,15.1,,1.6,-8,11.1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Residential,"$2,155,918,524 ","$2,414,608,127 ","$2,445,616,947 ","$2,651,239,012 ","$2,937,428,052 ","$2,975,444,502 ","$3,337,867,183 ","$4,786,203,050 ","$5,712,928,622 ","$6,282,436,389 ","$6,872,700,152 ","$7,523,926,865 ","$7,343,629,210 ","$7,178,108,247 ","$7,017,857,230 ","$7,027,712,955 ","$7,099,067,112 ","$7,293,246,502 ","$7,894,327,349 ","$8,909,186,864 "
Commercial,"$621,333,281 ","$677,321,785 ","$710,504,110 ","$821,589,645 ","$930,173,140 ","$997,464,473 ","$1,158,227,198 ","$887,935,750 ","$900,926,278 ","$973,447,611 ","$1,022,198,148 ","$1,228,148,835 ","$1,248,700,880 ","$1,231,085,973 ","$1,243,422,590 ","$1,270,163,365 ","$1,291,505,078 ","$1,302,088,548 ","$1,551,345,051 ","$1,583,038,416 "
Total,"$2,777,251,805 ","$3,091,929,912 ","$3,156,121,057 ","$3,472,828,657 ","$3,867,601,192 ","$3,972,908,975 ","$4,496,094,381 ","$5,674,138,800 ","$6,613,854,900 ","$7,255,884,000 ","$7,894,898,300 ","$8,752,075,700 ","$8,592,330,090 ","$8,409,194,220 ","$8,261,279,820 ","$8,297,876,320 ","$8,390,572,190 ","$8,595,335,050 ","$9,445,672,400 ","$10,492,225,280 "
