,Percent of Households with Same-Sex Partners,Population,,,,,,,,
"Fort Lauderdale, FL",2.8,170747,,,,,,,,
"Seattle, WA",2.6,634535,,,,,,,,
"San Francisco, CA",2.5,825863,,,,,,,,
"Minneapolis, MN",2.4,392880,,,,,,,,
"Portland, ME",2.2,603106,,,,,,,,
"Somerville, MA",2.0,77104,,,,,,,,
"Oakland, CA",1.9,400740,,,,,,,,
"Providence, RI",1.7,178432,,,,,,,,
"Washington, DC",1.7,632323,,,,,,,,
"Warwick, RI",1.6,81873,,,,,,,,
,,,,,,,,,,
City,"Fort Lauderdale, FL","Seattle, WA","San Francisco, CA","Minneapolis, MN","Portland, ME","Somerville, MA","Oakland, CA","Providence, RI","Washington, DC","Warwick, RI"
Percent of Households with Same-Sex Partners,2.8,2.6,2.5,2.4,2.2,2.0,1.9,1.7,1.7,1.6
Population,170747,634535,825863,392880,603106,77104,400740,178432,632323,81873
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,`,,,,,,,
